,username,created_time,tweet_id,tweet, place
441,Chandra_Swami,Wed Oct 06 09:44:27 +0000 2021,1445686380152037378,"Very very commendable. In the state of Victoria in Australia where Melbourne is the capital, the state has achieved… https://t.co/zCVFWsukn4",Melbourne
442,AtlasDigitalAu,Wed Oct 06 09:44:28 +0000 2021,1445686384828698637,"RT @CraigKellyMP: I stand with VIC Authorised Workers United Against Mandates

These are wonderful Emergency Services workers who love &amp; se…",
443,s_deery,Wed Oct 06 09:44:28 +0000 2021,1445686384711270403,"Threat to Victorian sex prosecutions,  insiders have warned, with the specialist team charged with helping jail the… https://t.co/69WeOYabpr","Melbourne, Australia"
444,reds_2001,Wed Oct 06 09:44:28 +0000 2021,1445686386380578825,"RT @EdwardJWHunter: Good.

CFMEU members could be expelled from union over Melbourne vaccine mandate protests 

#covidvic 

https://t.co/Oz…","Queensland, Australia"
445,FantasticMrNox,Wed Oct 06 09:44:29 +0000 2021,1445686391262760961,@Giulio_Taranto_ @OzraeliAvi Dan Andrews wife got away with hitting a 15 year old kid with her csr https://t.co/H10DmbbTNM,Everywhere
446,thevixter2,Wed Oct 06 09:44:30 +0000 2021,1445686392089047041,RT @MelissaLDavey: City of Melbourne have just announced that from Friday 5 November vaccination will be required to enter any City of Melb…,
447,beautifulcelebz,Wed Oct 06 09:44:29 +0000 2021,1445686391250190342,Victoria Justice 😍 https://t.co/rll7exHwaj,
448,Danimelcd,Wed Oct 06 09:44:31 +0000 2021,1445686397357023235,OMG!!! They’re so beautiful 😍😍😍😍,
449,Benji4322,Wed Oct 06 09:44:32 +0000 2021,1445686400771248133,RT @flossyflange: FFS…. This is absolute insane dystopia,
450,gorudd,Wed Oct 06 09:44:33 +0000 2021,1445686405921837058,"RT @deliciouslybad: So let me get this straight. 
The Age has published a piece that headlines Dan Andrews possible corruption, but the art…",
451,LisanatLisa,Wed Oct 06 09:44:33 +0000 2021,1445686408383926288,RT @JGademski: Victoria running out of icu beds. Where are the 4000 icu beds Andrews and Mikakos promised in 2020?  Where is Worksafe Victo…,
452,LiberationLight,Wed Oct 06 09:44:34 +0000 2021,1445686409357000707,"AUSTRALIA

Victoria

Such a pleasure to watch this tyrannical creature squirm when asked about the IBAC corruption… https://t.co/AMmSTJURhv",Australia
453,marieeandstuar2,Wed Oct 06 09:44:36 +0000 2021,1445686417057718272,The once great paper The Age now languishing in the gutter,"Melbourne, Victoria"
454,markc01,Wed Oct 06 09:44:38 +0000 2021,1445686429342789641,"RT @sophieelsworth: Update today:
Victoria: 1420 cases.
NSW: 594 cases.😷","Victoria, Australia"
455,KaleKhan1935,Wed Oct 06 09:44:39 +0000 2021,1445686433016995841,RT @ArslanMCL1: Imran Khan 1977 Melbourne Test. In This test  Imran got his Maiden Five For. https://t.co/JNCF7mcULP,"Lahore, Pakistan"
456,christi46995357,Wed Oct 06 09:44:40 +0000 2021,1445686433906245637,RT @RealDeniseWelch: Not one mention on the news or in mainstream media. Shocking,
457,ElsaLeonis,Wed Oct 06 09:44:41 +0000 2021,1445686438759059463,RT @chrismurphys: I went to a Catholic school housing 5 paedophile teachers.Confess in remorse to a priest &amp; he tells no one &amp; teacher stay…,
458,DisturbedStacie,Wed Oct 06 09:44:42 +0000 2021,1445686442085142537,"RT @OzraeliAvi: Today police surrounded me for allegedly ""not being a Victoria Police accredited journalist"". 

Seriously!

WATCH &amp; RT what…",
459,munchenfez,Wed Oct 06 09:44:42 +0000 2021,1445686442361954318,RT @flossyflange: FFS…. This is absolute insane dystopia,
